California Institute of the Arts, Private, CA, Proposing a hybrid model, proposing a hybrid model for fall semester, https://calarts.edu/about/news-and-events/newsroom/institute-news/calarts-approach-to-academic-year-2020-21
California State University system's 23 campuses, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Bakersfield, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Channel Islands, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Chico, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Dominguez Hills, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
East Bay, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Fresno, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Fullerton, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Humboldt, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Long Beach, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Los Angeles, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Maritime Academy, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Monterey Bay, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Northridge, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Polytechnic at San Luis Obispo, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Pomona, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Sacramento, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
San Bernardino, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
San Diego, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
San Francisco, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
